Resolution Bin,Percentile,Avg B-factor,Max B-factor,Std B-factor,Ramachandran Score,Rotamer Score,Residue Fit,Mainchain Fit,Sidechain Fit
<10,95,33.76625,46.47,8.34593,1.64988,10.84201,26.33962,26.29639,15.27166
<10,96,35.9,49.59,9.25783,1.68798,12.51969,27.54767,27.49543,16.70419
<10,97,38.67867,53.67,10.47433,1.73001,14.01043,29.05026,28.99132,18.59561
<10,98,42.73216,59.52,12.25845,1.78031,14.92583,31.17051,31.10512,21.39138
<10,99,49.97658,70.4,15.55827,1.84611,19.96582,35.13386,35.03857,26.49281
10-20,1,6.37167,7.55,0.20881,0.00563,0.04534,1.74307,1.65549,1.61223
10-20,2,7.27,8.58,0.28656,0.0132,0.08139,2.03957,1.94391,1.86086
10-20,3,7.90375,9.27,0.34678,0.01918,0.11294,2.2599,2.15893,2.03369
10-20,4,8.3925,9.85,0.39749,0.02422,0.14071,2.44716,2.34035,2.17536
10-20,5,8.81222,10.34,0.44166,0.0296,0.1668,2.61342,2.50172,2.2987
10-20,6,9.184,10.77,0.48255,0.03535,0.19031,2.76709,2.65308,2.41038
10-20,7,9.52143,11.18,0.52081,0.04143,0.21287,2.91297,2.79498,2.51628
10-20,8,9.84414,11.55,0.55675,0.04688,0.2341,3.0502,2.93102,2.61383
10-20,9,10.14571,11.91,0.59031,0.05194,0.25463,3.18455,3.0602,2.70611
10-20,10,10.42818,12.25,0.6233,0.05722,0.27417,3.3148,3.18654,2.79452
10-20,11,10.698,12.57,0.65438,0.06274,0.293,3.44028,3.31074,2.88137
10-20,12,10.96,12.88,0.68491,0.06839,0.31131,3.56588,3.43214,2.96379
10-20,13,11.215,13.19,0.71409,0.07407,0.3295,3.68902,3.55299,3.04513
10-20,14,11.45625,13.48,0.7429,0.08011,0.34695,3.81128,3.67279,3.12546
10-20,15,11.695,13.76,0.77137,0.08608,0.36406,3.93193,3.79244,3.20416
10-20,16,11.92667,14.03,0.79928,0.09212,0.38102,4.0533,3.91125,3.28128
10-20,17,12.155,14.3,0.82652,0.09804,0.39799,4.17399,4.02929,3.35798
10-20,18,12.38,14.56,0.85333,0.10356,0.41444,4.29629,4.14828,3.43215
10-20,19,12.59786,14.82,0.88062,0.10922,0.43079,4.42014,4.26917,3.50539
10-20,20,12.815,15.08,0.90755,0.11478,0.44656,4.54256,4.38932,3.57904
10-20,21,13.03,15.33,0.9342,0.1201,0.46237,4.66631,4.51119,3.65203
10-20,22,13.2375,15.58,0.96084,0.12521,0.4784,4.79217,4.63497,3.72463
10-20,23,13.44625,15.83,0.98711,0.13001,0.49413,4.92131,4.75939,3.79657
10-20,24,13.64875,16.08,1.01364,0.13463,0.50981,5.05244,4.88669,3.86945
10-20,25,13.8525,16.33,1.04,0.13933,0.52568,5.18437,5.01434,3.94128
10-20,26,14.05389,16.57,1.0665,0.14403,0.54159,5.31677,5.1446,4.01379
10-20,27,14.25222,16.82,1.09321,0.14878,0.55747,5.45307,5.27806,4.08507
10-20,28,14.45273,17.06,1.1202,0.15344,0.57331,5.59054,5.41492,4.15743
10-20,29,14.65375,17.3,1.14693,0.15809,0.58936,5.73248,5.55216,4.22982
10-20,30,14.85167,17.55,1.17448,0.1628,0.60538,5.87789,5.69268,4.30378
10-20,31,15.04875,17.79,1.20196,0.16745,0.62124,6.02518,5.83617,4.37791
10-20,32,15.25125,18.03,1.2297,0.17208,0.63768,6.17323,5.98456,4.45226
10-20,33,15.4475,18.27,1.25807,0.17661,0.65438,6.32461,6.13214,4.52787
10-20,34,15.646,18.51,1.28727,0.18102,0.67131,6.48165,6.28633,4.6029
10-20,35,15.84375,18.76,1.31604,0.18533,0.68851,6.64336,6.44308,4.68016
10-20,36,16.04,19.0,1.34552,0.1895,0.70572,6.80645,6.60684,4.75773
10-20,37,16.24,19.25,1.37486,0.19353,0.72275,6.97464,6.77117,4.83504
10-20,38,16.44167,19.5,1.40495,0.19731,0.74067,7.14548,6.93959,4.91493
10-20,39,16.64143,19.75,1.43606,0.20091,0.75838,7.32402,7.11207,4.99576
10-20,40,16.842,20.0,1.4671,0.20424,0.77625,7.50378,7.2925,5.07812
10-20,41,17.04625,20.2546,1.49843,0.20739,0.79497,7.68937,7.47501,5.16272
10-20,42,17.25,20.51,1.53106,0.21037,0.81409,7.87996,7.66345,5.24535
10-20,43,17.45889,20.77,1.56365,0.21352,0.83332,8.07566,7.85554,5.32992
10-20,44,17.66222,21.03,1.59742,0.21672,0.8531,8.2742,8.0537,5.41756
10-20,45,17.86906,21.3,1.63244,0.22048,0.87316,8.47635,8.25446,5.5054
10-20,46,18.07875,21.56,1.66724,0.22426,0.89341,8.68752,8.46164,5.59474
10-20,47,18.29125,21.83,1.70337,0.22779,0.91467,8.89914,8.67524,5.6854
10-20,48,18.50429,22.11,1.74045,0.23094,0.93612,9.11864,8.89269,5.77901
